,elevation nodes,vegetation
384,"(0.0, 0.15)","(0.0, 0.18)"
385,"(0.0, 0.15)","(0.0, 0.18)"
386,"(0.0, 0.15)","(0.0, 0.18)"
387,"(0.0, 0.15)","(0.0, 0.18)"
388,"(0.0, 0.15)","(0.0, 0.18)"
389,"(0.0, 0.15)","(0.0, 0.18)"
390,"(0.0, 0.15)","(0.0, 0.18)"
391,"(0.0, 0.15)","(0.0, 0.18)"
392,"(0.0, 0.15)","(0.0, 0.18)"
393,"(0.0, 0.15)","(0.0, 0.18)"
394,"(0.0, 0.15)","(0.0, 0.18)"
395,"(0.0, 0.15)","(0.0, 0.18)"
396,"(0.0, 0.15)","(0.0, 0.18)"
397,"(0.0, 0.15)","(0.0, 0.18)"
398,"(0.0, 0.15)","(0.0, 0.18)"
399,"(0.0, 0.15)","(0.0, 0.18)"
400,"(0.0, 0.15)","(0.0, 0.18)"
401,"(0.0, 0.15)","(0.0, 0.18)"
402,"(0.0, 0.15)","(0.0, 0.18)"
403,"(0.0, 0.15)","(0.0, 0.18)"
404,"(0.0, 0.15)","(0.0, 0.18)"
405,"(0.0, 0.15)","(0.0, 0.18)"
406,"(0.0, 0.15)","(0.0, 0.18)"
407,"(0.0, 0.15)","(0.0, 0.18)"
408,"(0.0, 0.15)","(0.0, 0.18)"
409,"(0.0, 0.15)","(0.0, 0.18)"
410,"(0.0, 0.15)","(0.0, 0.18)"
411,"(0.0, 0.15)","(0.0, 0.18)"
412,"(0.0, 0.15)","(0.0, 0.18)"
413,"(0.0, 0.15)","(0.0, 0.18)"
414,"(0.0, 0.15)","(0.0, 0.18)"
415,"(0.0, 0.15)","(0.0, 0.18)"
416,"(0.0, 0.15)","(0.0, 0.18)"
417,"(0.0, 0.15)","(0.0, 0.18)"
418,"(0.0, 0.15)","(0.0, 0.18)"
419,"(0.0, 0.15)","(0.0, 0.18)"
420,"(0.0, 0.15)","(0.0, 0.18)"
421,"(0.0, 0.15)","(0.0, 0.18)"
422,"(0.0, 0.15)","(0.0, 0.18)"
423,"(0.0, 0.15)","(0.0, 0.18)"
424,"(0.0, 0.15)","(0.0, 0.18)"
425,"(0.0, 0.15)","(0.0, 0.18)"
426,"(0.0, 0.15)","(0.0, 0.18)"
427,"(0.0, 0.15)","(0.0, 0.18)"
428,"(0.0, 0.15)","(0.0, 0.18)"
429,"(0.0, 0.15)","(0.0, 0.18)"
430,"(0.0, 0.15)","(0.0, 0.18)"
431,"(0.0, 0.15)","(0.0, 0.18)"
432,"(0.0, 0.15)","(0.0, 0.18)"
433,"(0.0, 0.15)","(0.0, 0.18)"
434,"(0.0, 0.15)","(0.0, 0.18)"
435,"(0.0, 0.15)","(0.0, 0.18)"
436,"(0.0, 0.15)","(0.0, 0.18)"
437,"(0.0, 0.15)","(0.0, 0.18)"
438,"(0.0, 0.15)","(0.0, 0.18)"
439,"(0.0, 0.15)","(0.0, 0.18)"
440,"(0.0, 0.15)","(0.0, 0.18)"
441,"(0.0, 0.15)","(0.0, 0.18)"
442,"(0.0, 0.15)","(0.0, 0.18)"
443,"(0.0, 0.15)","(0.0, 0.18)"
444,"(0.0, 0.15)","(0.0, 0.18)"
445,"(0.0, 0.15)","(0.0, 0.18)"
446,"(0.0, 0.15)","(0.0, 0.18)"
447,"(0.0, 0.15)","(0.0, 0.18)"
448,"(0.0, 0.15)","(0.0, 0.18)"
449,"(0.0, 0.15)","(0.0, 0.18)"
450,"(0.0, 0.15)","(0.0, 0.18)"
451,"(0.0, 0.15)","(0.0, 0.18)"
452,"(0.0, 0.15)","(0.0, 0.18)"
453,"(0.0, 0.15)","(0.0, 0.18)"
454,"(0.0, 0.15)","(0.0, 0.18)"
455,"(0.0, 0.15)","(0.0, 0.18)"
456,"(0.0, 0.15)","(0.0, 0.18)"
457,"(0.0, 0.15)","(0.0, 0.18)"
458,"(0.0, 0.15)","(0.0, 0.18)"
459,"(0.0, 0.15)","(0.0, 0.18)"
460,"(0.0, 0.15)","(0.0, 0.18)"
461,"(0.0, 0.15)","(0.0, 0.18)"
462,"(0.0, 0.15)","(0.0, 0.18)"
463,"(0.0, 0.15)","(0.0, 0.18)"
464,"(0.0, 0.15)","(0.0, 0.18)"
465,"(0.0, 0.15)","(0.0, 0.18)"
466,"(0.0, 0.15)","(0.0, 0.18)"
467,"(0.0, 0.15)","(0.0, 0.18)"
468,"(0.0, 0.15)","(0.0, 0.18)"
469,"(0.0, 0.15)","(0.0, 0.18)"
470,"(0.0, 0.15)","(0.0, 0.18)"
471,"(0.0, 0.15)","(0.0, 0.18)"
472,"(0.0, 0.15)","(0.0, 0.18)"
473,"(0.0, 0.15)","(0.0, 0.18)"
474,"(0.0, 0.15)","(0.0, 0.18)"
475,"(0.0, 0.15)","(0.0, 0.18)"
476,"(0.0, 0.15)","(0.0, 0.18)"
477,"(0.0, 0.15)","(0.0, 0.18)"
478,"(0.0, 0.15)","(0.0, 0.18)"
479,"(0.0, 0.15)","(0.0, 0.18)"
480,"(0.0, 0.15)","(0.0, 0.18)"
481,"(0.0, 0.15)","(0.0, 0.18)"
482,"(0.0, 0.15)","(0.0, 0.18)"
483,"(0.0, 0.15)","(0.0, 0.18)"
484,"(0.0, 0.15)","(0.0, 0.18)"
485,"(0.0, 0.15)","(0.0, 0.18)"
486,"(0.0, 0.15)","(0.0, 0.18)"
487,"(0.0, 0.15)","(0.0, 0.18)"
488,"(0.0, 0.15)","(0.0, 0.18)"
489,"(0.0, 0.175)","(0.0, 0.22)"
490,"(0.0, 0.175)","(0.0, 0.22)"
491,"(0.0, 0.175)","(0.0, 0.22)"
492,"(0.0, 0.175)","(0.0, 0.22)"
493,"(0.0, 0.175)","(0.0, 0.22)"
