,Unnamed: 0,2010-12-29 07:00:00+00:00,2010-12-29 08:00:00+00:00,2010-12-29 09:00:00+00:00,2010-12-29 10:00:00+00:00,2010-12-29 11:00:00+00:00,2010-12-29 12:00:00+00:00,2010-12-29 13:00:00+00:00,2010-12-29 14:00:00+00:00,2010-12-29 15:00:00+00:00,2010-12-29 16:00:00+00:00,2010-12-29 17:00:00+00:00,2010-12-29 18:00:00+00:00,2010-12-29 19:00:00+00:00,2010-12-29 20:00:00+00:00
137,,2.469,3.6742,2.9587,1.6384,0.3829,0.185,0.1216,0.086,0.0,0.086,0.0,0.0745,0.0,0.0483
138,,2.469,3.6742,2.9587,1.6384,0.3829,0.185,0.1216,0.086,0.0,0.086,0.0,0.0745,0.0,0.0483
139,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,,1.90855,2.7429,2.88635,1.6033,0.37485,0.16205,0.3972,0.0,0.0,0.0,0.0,0.00875,0.0,0.0027
168,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,,2.2087,2.232,2.1188,1.3399,0.3431,0.0706,0.2244,0.0018,0.0,0.0018,0.0,0.1286,0.0,0.0144
172,,2.2087,2.232,2.1188,1.3399,0.3431,0.0706,0.2244,0.0018,0.0,0.0018,0.0,0.1286,0.0,0.0144
173,,2.2087,2.232,2.1188,1.3399,0.3431,0.0706,0.2244,0.0018,0.0,0.0018,0.0,0.1286,0.0,0.0144
174,,2.2087,2.232,2.1188,1.3399,0.3431,0.0706,0.2244,0.0018,0.0,0.0018,0.0,0.1286,0.0,0.0144
175,,2.2087,2.232,2.1188,1.3399,0.3431,0.0706,0.2244,0.0018,0.0,0.0018,0.0,0.1286,0.0,0.0144
176,,2.2087,2.232,2.1188,1.3399,0.3431,0.0706,0.2244,0.0018,0.0,0.0018,0.0,0.1286,0.0,0.0144
177,,2.2087,2.232,2.1188,1.3399,0.3431,0.0706,0.2244,0.0018,0.0,0.0018,0.0,0.1286,0.0,0.0144
178,,2.2087,2.232,2.1188,1.3399,0.3431,0.0706,0.2244,0.0018,0.0,0.0018,0.0,0.1286,0.0,0.0144
179,,2.2087,2.232,2.1188,1.3399,0.3431,0.0706,0.2244,0.0018,0.0,0.0018,0.0,0.1286,0.0,0.0144
180,,2.2087,2.232,2.1188,1.3399,0.3431,0.0706,0.2244,0.0018,0.0,0.0018,0.0,0.1286,0.0,0.0144
181,,2.2087,2.232,2.1188,1.3399,0.3431,0.0706,0.2244,0.0018,0.0,0.0018,0.0,0.1286,0.0,0.0144
182,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,,1.8235,2.841,2.5965,1.3791,0.2906,0.1672,0.4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
