,Unnamed: 0,2023-03-21 19:00:00+00:00,2023-03-21 20:00:00+00:00,2023-03-21 21:00:00+00:00,2023-03-21 22:00:00+00:00,2023-03-21 23:00:00+00:00,2023-03-22 00:00:00+00:00,2023-03-22 01:00:00+00:00,2023-03-22 02:00:00+00:00,2023-03-22 03:00:00+00:00,2023-03-22 04:00:00+00:00,2023-03-22 05:00:00+00:00
157,,2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
158,,2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
159,,2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
160,,2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
161,,2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
162,,2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
163,,2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
164,,2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
165,,2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
166,,2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
167,,2.3854,0.4582,0.637,1.2433,0.3242,0.3385,1.1436000000000002,0.3548,0.5059,0.7335,0.6553
168,,2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
169,,2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
170,,2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
171,,0.4676,0.5622,0.8466,0.8022,0.4808,0.6184,0.72,0.3886,0.6144,0.7506,0.647
172,,0.4676,0.5622,0.8466,0.8022,0.4808,0.6184,0.72,0.3886,0.6144,0.7506,0.647
173,,0.4676,0.5622,0.8466,0.8022,0.4808,0.6184,0.72,0.3886,0.6144,0.7506,0.647
174,,0.4676,0.5622,0.8466,0.8022,0.4808,0.6184,0.72,0.3886,0.6144,0.7506,0.647
175,,0.4676,0.5622,0.8466,0.8022,0.4808,0.6184,0.72,0.3886,0.6144,0.7506,0.647
176,,0.4676,0.5622,0.8466,0.8022,0.4808,0.6184,0.72,0.3886,0.6144,0.7506,0.647
177,,0.4676,0.5622,0.8466,0.8022,0.4808,0.6184,0.72,0.3886,0.6144,0.7506,0.647
178,,0.4676,0.5622,0.8466,0.8022,0.4808,0.6184,0.72,0.3886,0.6144,0.7506,0.647
179,,0.4676,0.5622,0.8466,0.8022,0.4808,0.6184,0.72,0.3886,0.6144,0.7506,0.647
180,,0.4676,0.5622,0.8466,0.8022,0.4808,0.6184,0.72,0.3886,0.6144,0.7506,0.647
181,,0.4676,0.5622,0.8466,0.8022,0.4808,0.6184,0.72,0.3886,0.6144,0.7506,0.647
182,,2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
183,,2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
184,,2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
