,elevation edges,length
69,"(0.072, 0.072)","(0.088, 0.088)"
70,"(0.072, 0.072)","(0.088, 0.088)"
71,"(0.072, 0.072)","(0.088, 0.088)"
72,"(0.072, 0.072)","(0.088, 0.088)"
73,"(0.072, 0.072)","(0.088, 0.088)"
74,"(0.072, 0.072)","(0.088, 0.088)"
75,"(0.072, 0.072)","(0.088, 0.088)"
76,"(0.072, 0.072)","(0.088, 0.088)"
77,"(0.072, 0.072)","(0.088, 0.088)"
78,"(0.072, 0.072)","(0.088, 0.088)"
79,"(0.072, 0.072)","(0.088, 0.088)"
80,"(0.072, 0.072)","(0.088, 0.088)"
81,"(0.072, 0.072)","(0.088, 0.088)"
82,"(0.072, 0.072)","(0.088, 0.088)"
83,"(0.072, 0.072)","(0.088, 0.088)"
84,"(0.072, 0.072)","(0.088, 0.088)"
85,"(0.072, 0.072)","(0.088, 0.088)"
86,"(0.072, 0.072)","(0.088, 0.088)"
87,"(0.072, 0.072)","(0.088, 0.088)"
88,"(0.072, 0.072)","(0.088, 0.088)"
89,"(0.072, 0.072)","(0.088, 0.088)"
90,"(0.072, 0.072)","(0.088, 0.088)"
91,"(0.072, 0.072)","(0.088, 0.088)"
92,"(0.072, 0.072)","(0.088, 0.088)"
93,"(0.072, 0.072)","(0.088, 0.088)"
94,"(0.072, 0.072)","(0.088, 0.088)"
95,"(0.072, 0.072)","(0.088, 0.088)"
96,"(0.072, 0.072)","(0.088, 0.088)"
97,"(0.072, 0.072)","(0.088, 0.088)"
98,"(0.072, 0.072)","(0.088, 0.088)"
99,"(0.072, 0.072)","(0.088, 0.088)"
100,"(0.072, 0.072)","(0.088, 0.088)"
101,"(0.072, 0.072)","(0.088, 0.088)"
102,"(0.072, 0.072)","(0.088, 0.088)"
103,"(0.072, 0.072)","(0.088, 0.088)"
104,"(0.072, 0.072)","(0.088, 0.088)"
105,"(0.072, 0.072)","(0.088, 0.088)"
106,"(0.072, 0.072)","(0.088, 0.088)"
107,"(0.072, 0.072)","(0.088, 0.088)"
108,"(0.072, 0.072)","(0.088, 0.088)"
109,"(0.072, 0.128)","(0.088, 0.112)"
110,"(0.072, 0.128)","(0.088, 0.112)"
111,"(0.072, 0.128)","(0.088, 0.112)"
112,"(0.072, 0.128)","(0.088, 0.112)"
113,"(0.072, 0.128)","(0.088, 0.112)"
114,"(0.072, 0.128)","(0.088, 0.112)"
115,"(0.072, 0.128)","(0.088, 0.112)"
116,"(0.072, 0.128)","(0.088, 0.112)"
117,"(0.072, 0.128)","(0.088, 0.112)"
118,"(0.072, 0.128)","(0.088, 0.112)"
119,"(0.072, 0.128)","(0.088, 0.112)"
120,"(0.072, 0.128)","(0.088, 0.112)"
121,"(0.072, 0.128)","(0.088, 0.112)"
122,"(0.072, 0.128)","(0.088, 0.112)"
123,"(0.072, 0.128)","(0.088, 0.112)"
124,"(0.072, 0.128)","(0.088, 0.112)"
125,"(0.072, 0.128)","(0.088, 0.112)"
126,"(0.072, 0.128)","(0.088, 0.112)"
127,"(0.072, 0.128)","(0.088, 0.112)"
128,"(0.072, 0.128)","(0.088, 0.112)"
129,"(0.072, 0.128)","(0.088, 0.112)"
130,"(0.072, 0.128)","(0.088, 0.112)"
131,"(0.072, 0.128)","(0.088, 0.112)"
132,"(0.072, 0.128)","(0.088, 0.112)"
133,"(0.072, 0.128)","(0.088, 0.112)"
134,"(0.072, 0.128)","(0.088, 0.112)"
135,"(0.072, 0.128)","(0.088, 0.112)"
136,"(0.072, 0.128)","(0.088, 0.112)"
137,"(0.072, 0.128)","(0.088, 0.112)"
138,"(0.072, 0.128)","(0.088, 0.112)"
139,"(0.072, 0.072)","(0.088, 0.088)"
140,"(0.072, 0.072)","(0.088, 0.088)"
141,"(0.072, 0.072)","(0.088, 0.088)"
142,"(0.072, 0.072)","(0.088, 0.088)"
143,"(0.072, 0.072)","(0.088, 0.088)"
144,"(0.072, 0.072)","(0.088, 0.088)"
145,"(0.072, 0.072)","(0.088, 0.088)"
146,"(0.072, 0.072)","(0.088, 0.088)"
147,"(0.072, 0.072)","(0.088, 0.088)"
148,"(0.072, 0.072)","(0.088, 0.088)"
149,"(0.072, 0.072)","(0.088, 0.088)"
150,"(0.072, 0.072)","(0.088, 0.088)"
151,"(0.072, 0.072)","(0.088, 0.088)"
152,"(0.072, 0.072)","(0.088, 0.088)"
153,"(0.072, 0.072)","(0.088, 0.088)"
154,"(0.072, 0.072)","(0.088, 0.088)"
155,"(0.072, 0.072)","(0.088, 0.088)"
156,"(0.072, 0.072)","(0.088, 0.088)"
157,"(0.072, 0.072)","(0.088, 0.088)"
158,"(0.072, 0.072)","(0.088, 0.088)"
159,"(0.072, 0.072)","(0.088, 0.088)"
160,"(0.072, 0.072)","(0.088, 0.088)"
161,"(0.072, 0.072)","(0.088, 0.088)"
162,"(0.072, 0.072)","(0.088, 0.088)"
163,"(0.072, 0.072)","(0.088, 0.088)"
164,"(0.072, 0.072)","(0.088, 0.088)"
165,"(0.072, 0.072)","(0.088, 0.088)"
166,"(0.072, 0.072)","(0.088, 0.088)"
167,"(0.072, 0.072)","(0.088, 0.088)"
168,"(0.072, 0.072)","(0.088, 0.088)"
169,"(0.072, 0.072)","(0.088, 0.088)"
170,"(0.072, 0.072)","(0.088, 0.088)"
171,"(0.072, 0.1)","(0.088, 0.1)"
172,"(0.072, 0.1)","(0.088, 0.1)"
173,"(0.072, 0.1)","(0.088, 0.1)"
174,"(0.072, 0.1)","(0.088, 0.1)"
175,"(0.072, 0.1)","(0.088, 0.1)"
176,"(0.072, 0.1)","(0.088, 0.1)"
177,"(0.072, 0.1)","(0.088, 0.1)"
178,"(0.072, 0.1)","(0.088, 0.1)"
179,"(0.072, 0.1)","(0.088, 0.1)"
180,"(0.072, 0.1)","(0.088, 0.1)"
181,"(0.072, 0.1)","(0.088, 0.1)"
182,"(0.072, 0.072)","(0.088, 0.088)"
183,"(0.072, 0.072)","(0.088, 0.088)"
184,"(0.072, 0.072)","(0.088, 0.088)"
185,"(0.072, 0.072)","(0.088, 0.088)"
186,"(0.072, 0.072)","(0.088, 0.088)"
187,"(0.072, 0.072)","(0.088, 0.088)"
188,"(0.072, 0.072)","(0.088, 0.088)"
189,"(0.072, 0.072)","(0.088, 0.088)"
190,"(0.072, 0.072)","(0.088, 0.088)"
191,"(0.072, 0.072)","(0.088, 0.088)"
192,"(0.072, 0.072)","(0.088, 0.088)"
193,"(0.072, 0.072)","(0.088, 0.088)"
194,"(0.072, 0.072)","(0.088, 0.088)"
195,"(0.072, 0.072)","(0.088, 0.088)"
196,"(0.072, 0.072)","(0.088, 0.088)"
197,"(0.072, 0.072)","(0.088, 0.088)"
198,"(0.072, 0.072)","(0.088, 0.088)"
199,"(0.072, 0.072)","(0.088, 0.088)"
200,"(0.072, 0.072)","(0.088, 0.088)"
201,"(0.072, 0.072)","(0.088, 0.088)"
202,"(0.072, 0.072)","(0.088, 0.088)"
203,"(0.072, 0.072)","(0.088, 0.088)"
204,"(0.072, 0.072)","(0.088, 0.088)"
205,"(0.072, 0.072)","(0.088, 0.088)"
206,"(0.072, 0.072)","(0.088, 0.088)"
207,"(0.072, 0.072)","(0.088, 0.088)"
208,"(0.072, 0.072)","(0.088, 0.088)"
209,"(0.072, 0.072)","(0.088, 0.088)"
210,"(0.072, 0.072)","(0.088, 0.088)"
